character,ascension,run_seed,floors_cleared,act_reached,outcome,final_hp,deck_size,turns_total,biggest_hit
char_archivist,2,1,8,1,defeat,0,12,24,9
char_archivist,2,2,7,1,defeat,0,12,24,7
char_archivist,2,3,7,1,defeat,0,12,22,8
char_archivist,2,4,7,1,defeat,0,12,22,7
char_archivist,2,5,6,1,defeat,0,12,20,7
char_archivist,2,6,7,1,defeat,0,12,23,7
char_archivist,2,7,7,1,defeat,0,12,24,9
char_archivist,2,8,7,1,defeat,0,12,22,7
char_archivist,2,9,7,1,defeat,0,12,26,7
char_archivist,2,10,6,1,defeat,0,12,23,9
char_archivist,2,11,7,1,defeat,0,12,22,8
char_archivist,2,12,7,1,defeat,0,12,25,7
char_archivist,2,13,7,1,defeat,0,12,22,7
char_archivist,2,14,7,1,defeat,0,12,21,7
char_archivist,2,15,7,1,defeat,0,12,25,8
char_archivist,2,16,7,1,defeat,0,12,23,9
char_archivist,2,17,7,1,defeat,0,12,25,9
char_archivist,2,18,7,1,defeat,0,12,21,8
char_archivist,2,19,7,1,defeat,0,12,24,7
char_archivist,2,20,7,1,defeat,0,12,24,8
char_archivist,2,21,6,1,defeat,0,12,17,8
char_archivist,2,22,8,1,defeat,0,12,30,9
char_archivist,2,23,7,1,defeat,0,12,23,7
char_archivist,2,24,6,1,defeat,0,12,20,7
char_archivist,2,25,7,1,defeat,0,12,25,9
char_archivist,2,26,7,1,defeat,0,12,25,7
char_archivist,2,27,7,1,defeat,0,12,20,9
char_archivist,2,28,8,1,defeat,0,12,26,7
char_archivist,2,29,7,1,defeat,0,12,28,9
char_archivist,2,30,7,1,defeat,0,12,23,10
char_archivist,2,31,7,1,defeat,0,12,25,7
char_archivist,2,32,8,1,defeat,0,12,29,11
char_archivist,2,33,7,1,defeat,0,12,24,7
char_archivist,2,34,7,1,defeat,0,12,22,7
char_archivist,2,35,7,1,defeat,0,12,24,8
char_archivist,2,36,7,1,defeat,0,12,21,7
char_archivist,2,37,8,1,defeat,0,12,25,7
char_archivist,2,38,6,1,defeat,0,12,21,7
char_archivist,2,39,7,1,defeat,0,12,22,8
char_archivist,2,40,7,1,defeat,0,12,22,7
char_archivist,2,41,7,1,defeat,0,12,24,9
char_archivist,2,42,7,1,defeat,0,12,20,8
char_archivist,2,43,7,1,defeat,0,12,23,7
char_archivist,2,44,8,1,defeat,0,12,29,8
char_archivist,2,45,6,1,defeat,0,12,21,7
char_archivist,2,46,8,1,defeat,0,12,25,7
char_archivist,2,47,7,1,defeat,0,12,27,8
char_archivist,2,48,8,1,defeat,0,12,30,7
char_archivist,2,49,7,1,defeat,0,12,21,8
char_archivist,2,50,7,1,defeat,0,12,21,7
char_archivist,2,51,6,1,defeat,0,12,19,8
char_archivist,2,52,6,1,defeat,0,12,21,7
char_archivist,2,53,5,1,defeat,0,12,18,7
char_archivist,2,54,7,1,defeat,0,12,24,7
char_archivist,2,55,7,1,defeat,0,12,26,9
char_archivist,2,56,6,1,defeat,0,12,17,9
char_archivist,2,57,7,1,defeat,0,12,24,7
char_archivist,2,58,7,1,defeat,0,12,22,11
char_archivist,2,59,7,1,defeat,0,12,25,7
char_archivist,2,60,7,1,defeat,0,12,22,9
char_archivist,2,61,8,1,defeat,0,12,31,11
char_archivist,2,62,7,1,defeat,0,12,22,7
char_archivist,2,63,7,1,defeat,0,12,22,7
char_archivist,2,64,7,1,defeat,0,12,22,9
char_archivist,2,65,7,1,defeat,0,12,22,8
char_archivist,2,66,7,1,defeat,0,12,21,9
char_archivist,2,67,7,1,defeat,0,12,22,7
char_archivist,2,68,8,1,defeat,0,12,27,7
char_archivist,2,69,7,1,defeat,0,12,23,9
char_archivist,2,70,7,1,defeat,0,12,25,8
char_archivist,2,71,6,1,defeat,0,12,20,7
char_archivist,2,72,8,1,defeat,0,12,29,9
char_archivist,2,73,7,1,defeat,0,12,23,9
char_archivist,2,74,7,1,defeat,0,12,20,8
char_archivist,2,75,7,1,defeat,0,12,23,10
char_archivist,2,76,7,1,defeat,0,12,23,8
char_archivist,2,77,8,1,defeat,0,12,29,7
char_archivist,2,78,7,1,defeat,0,12,20,7
char_archivist,2,79,8,1,defeat,0,12,28,7
char_archivist,2,80,5,1,defeat,0,12,17,7
char_archivist,2,81,7,1,defeat,0,12,25,7
char_archivist,2,82,7,1,defeat,0,12,22,7
char_archivist,2,83,8,1,defeat,0,12,26,7
char_archivist,2,84,7,1,defeat,0,12,23,7
char_archivist,2,85,7,1,defeat,0,12,29,11
char_archivist,2,86,8,1,defeat,0,12,33,9
char_archivist,2,87,8,1,defeat,0,12,24,9
char_archivist,2,88,7,1,defeat,0,12,20,7
char_archivist,2,89,8,1,defeat,0,12,26,12
char_archivist,2,90,7,1,defeat,0,12,23,8
char_archivist,2,91,4,1,defeat,0,12,15,7
char_archivist,2,92,7,1,defeat,0,12,22,9
char_archivist,2,93,7,1,defeat,0,12,20,7
char_archivist,2,94,6,1,defeat,0,12,19,8
char_archivist,2,95,7,1,defeat,0,12,24,7
char_archivist,2,96,8,1,defeat,0,12,31,9
char_archivist,2,97,7,1,defeat,0,12,21,8
char_archivist,2,98,8,1,defeat,0,12,29,7
char_archivist,2,99,7,1,defeat,0,12,28,8
char_archivist,2,100,8,1,defeat,0,12,26,7
char_archivist,2,101,8,1,defeat,0,12,30,8
